x,y
38.18644812757242,2.3039908749343628e+16
59.82482252464689,2.6002852701146428e+16
69.21066084383864,3.0231736265816236e+16
110.70214871121993,3.4597430862239464e+16
139.47567707398326,3.816067769823099e+16
177.6164375274908,4.273105245990703e+16
226.20787477004313,4.728869243421602e+16
289.9452638577892,5.1994273120344024e+16
368.8157447107907,5.694012980092993e+16
451.54129980683183,6.143505751717057e+16
534.3608960627503,6.5090053447605064e+16
617.1968473029947,6.874469166825981e+16
700.0879966153411,7.1833507146586376e+16
782.9975452850546,7.479445927719046e+16
865.9438926695022,7.732513572404723e+16
948.9025062921953,7.97520014900529e+16
1031.8672530340118,8.215751773485032e+16
1114.8708428636007,8.400211251577755e+16
1197.8764770662324,8.585416711536427e+16
1280.869845030618,8.795548239534013e+16
1363.9020560827798,8.943378904570901e+16
1446.9056459123703,9.144175015578869e+16
1529.9460344566958,9.283170700309782e+16
1612.9782455088578,9.439197051471166e+16
1696.0329446644664,9.556189820734178e+16
1779.073333208792,9.70144832084912e+16
1862.1362098565667,9.806169157133621e+16
1945.1827315200137,9.94342506769579e+16
2028.2292531834607,1.008260213469342e+17
2111.292129831234,1.0191437278947075e+17
2194.327176180018,1.0357047956932341e+17
2277.4383268571887,1.037155261226635e+17
2360.5380022196973,1.040915531638216e+17
2443.5804351370625,1.0563201592780573e+17
2526.6760217534893,1.060988646994024e+17
2608.522326077566,1.0636006179533258e+17
2678.1553810833025,1.0868429067754467e+17
2783.4572828059277,1.0880287316324394e+17
2866.524418564203,1.0988676917367626e+17
2949.601605823263,1.1076590989216792e+17
3032.703325558811,1.111235497276195e+17
3115.7805128178697,1.1201258521463414e+17
3198.8577000769296,1.1290873336227931e+17
3281.9573754394364,1.1331809094367766e+17
3365.024340833292,1.1445073887780646e+17
3444.335792951196,1.1509062703673251e+17
