x,y
473.94539475240714,4.04086208436724e+19
557.7400809141882,4.5748926986174456e+19
646.9408758606003,5.1163622695877345e+19
736.1416708070124,5.636675118785122e+19
825.3424657534243,6.1834338701986456e+19
916.4146060483627,6.889205328201477e+19
1011.3126079447321,7.460028269569362e+19
1090.9175597984242,7.844942210182159e+19
1182.1456455390726,8.423360680284996e+19
1271.3464404854851,8.943673529482384e+19
1360.547235431897,9.479853920009449e+19
1449.748030378309,1.0021323490979748e+20
1538.948825324721,1.0494033716188091e+20
1628.1496202711335,1.1024924926271937e+20
1717.3504152175456,1.1587551219015138e+20
1806.5512101639574,1.2139599150871881e+20
1895.7520051103695,1.2685182528853577e+20
2163.3543899496062,1.4136223660569823e+20
2252.5551848960176,1.4661825690210427e+20
2341.7559798424295,1.5171560178521368e+20
2430.956774788842,1.562311368195681e+20
2520.157569735254,1.6111691448494847e+20
2609.3583646816664,1.6584401673703195e+20
2698.559159628078,1.707826862068445e+20
2787.7599545744897,1.7540400485006347e+20
2876.960749520902,1.7997243168885028e+20
2966.1615444673143,1.8417061589661103e+20
3055.3623394137267,1.8879193453983003e+20
3144.5631343601385,1.9336036137861687e+20
3233.7639293065504,1.9814035543513262e+20
3322.9647242529627,2.0233853964289347e+20
3412.165519199375,2.069598582861125e+20
3477.038824614947,2.0951686187199224e+20
