x,y
548.0029973640202,1.0322627126596918e+16
592.3495373650911,1.1699389589219344e+16
637.2095557282432,1.2830837183104278e+16
685.8357959880381,1.410409604262516e+16
741.9994327781872,1.5560245077522662e+16
801.9330394822207,1.7193775331848242e+16
861.8835122638404,1.8936918571109124e+16
925.6332251892305,2.077171307123544e+16
993.1550051333894,2.281091990289709e+16
1064.4400442558006,2.512237097251193e+16
1143.285583757704,2.7645130192697292e+16
1225.890520844338,3.053151597198261e+16
1308.5465672569921,3.3387577913698172e+16
1391.2700779799932,3.603748363830258e+16
1454.3500259031457,3.887814179188282e+16
1516.4819591281434,4.137463919401563e+16
1597.9815426307518,4.444803219868685e+16
1646.722031688445,4.748627732265926e+16
1759.6415674559712,5.187262562371069e+16
1842.373255671135,5.590116585787402e+16
1925.129476362789,5.995739724653386e+16
2007.9081851578921,6.402884643446967e+16
2090.6705389686667,6.859341130454265e+16
2173.461514002014,7.30777123316978e+16
2256.2320453049533,7.816363687739526e+16
2339.0291534574226,8.317486757981576e+16
2421.8651046976674,8.784492135845922e+16
2504.686745326626,9.303434192059446e+16
2582.441748102798,9.908760994603291e+16
2642.654686658541,1.042857831761519e+17
2690.0598055610685,1.0869138409876483e+17
2745.4648245800895,1.1334327150053507e+17
2828.3028201933735,1.1965987828112798e+17
2911.151037671863,1.2607899345440875e+17
2989.813742078151,1.3252461478452835e+17
3069.6550551288237,1.4131691741954483e+17
3159.6098264396196,1.499470098778419e+17
3242.4457776798617,1.583661468173065e+17
3325.2592408166574,1.679870838378061e+17
3408.078837072578,1.7798124893842694e+17
3464.535731874098,1.855289784681361e+17
