x,y
45.68333333333317,1.9259032841172677e+19
66.3571428571428,2.268512213788101e+19
79.95833333333321,2.62249014805393e+19
110.42499999999988,3.0477733989354357e+19
140.89166666666648,3.5143481423027573e+19
194.208333333333,4.036303513067959e+19
266.5666666666663,4.547752351098582e+19
350.34999999999985,4.9124839309846725e+19
434.1333333333331,5.159177551417724e+19
517.9166666666666,5.30357607057116e+19
601.6999999999998,5.384906026987589e+19
681.6749999999998,5.512745130599904e+19
784.4999999999995,5.4363479562339205e+19
868.2833333333332,5.485637073624683e+19
952.0666666666666,5.482648397870044e+19
1035.8499999999997,5.4091648525245686e+19
1119.6333333333332,5.342678482783937e+19
1176.0,5.314441454784559e+19
1247.9999999999998,5.311953165557681e+19
1307.9999999999998,5.2072708729897976e+19
1370.983333333333,5.17714712207763e+19
1454.7666666666662,5.0991387378545476e+19
1538.5499999999995,4.985682854495097e+19
1622.333333333333,4.9022727481669394e+19
1706.1166666666663,4.831125197170354e+19
1789.8999999999994,4.736947956139457e+19
1873.683333333333,4.641992497168227e+19
1957.4666666666665,4.554065317437952e+19
2041.25,4.445223233620592e+19
2125.033333333333,4.348764564416496e+19
2208.8166666666666,4.2543989902889525e+19
2292.6,4.1573973741039e+19
2376.3833333333328,4.058035647401909e+19
2460.166666666666,3.967744317287239e+19
2543.9499999999994,3.855511456445291e+19
2627.733333333333,3.761246686748306e+19
2711.516666666666,3.6548548826829988e+19
2795.2999999999997,3.5775602671721423e+19
2879.0833333333326,3.474407694234391e+19
2962.866666666667,3.3723302452514775e+19
3046.6499999999996,3.2695683214234534e+19
3130.433333333333,3.177084285889015e+19
3214.2166666666662,3.076805587955448e+19
3298.0,2.9830489157231227e+19
3381.783333333333,2.8986694580084978e+19
3461.758333333333,2.8186501344161796e+19
