x,y
71.19029029739507,9.16999643386142e+18
160.3910852438071,1.6224338080964575e+19
249.5918801902192,2.2643978074880475e+19
338.79267513663126,2.8376024611177062e+19
427.99347008304335,3.41080711474735e+19
517.1942650294554,3.94698750527443e+19
606.3950599758675,4.49374625668794e+19
695.5958549222796,4.950588940566617e+19
784.7966498686917,5.439166707104649e+19
873.9974448151038,5.917166112756226e+19
963.1982397615159,6.3792979770781245e+19
1052.3990347079277,6.830851480513567e+19
1141.59982965434,7.250669901289651e+19
1230.8006246007521,7.696934224281874e+19
1320.0014195471645,8.127331005944419e+19
1409.2022144935763,8.547149426720503e+19
1498.4030094399882,8.956389486610134e+19
1608.80829015544,9.419746903711693e+19
1702.0725388601031,9.862376485544233e+19
1766.0053942792247,1.0210555568495169e+20
1855.2061892256365,1.0577482184839004e+20
1944.4069841720489,1.0976143883842173e+20
2033.6077791184607,1.1411829845947949e+20
2122.808574064873,1.1736443018745964e+20
2212.009369011285,1.2092791274203333e+20
2301.2101639576968,1.2470296251433609e+20
2390.4109589041095,1.2900693033096148e+20
2479.6117538505214,1.3246462927667066e+20
2568.8125487969332,1.361338954401089e+20
2658.0133437433456,1.3932713536365676e+20
2747.2141386897574,1.431550769403918e+20
2836.4149336361697,1.465598840816687e+20
2897.2336574632686,1.4904963560118747e+20
3087.7989921215126,1.5646298379650957e+20
3176.9997870679244,1.590215220668703e+20
3266.2005820143368,1.6258500462144402e+20
3355.4013769607486,1.659369199582887e+20
3444.6021719071614,1.693946189039979e+20
3493.25715096884,1.71227744706316e+20
