x,y
42.28088924836106,1.8053796128202044e+16
61.08415631778058,2.0381538199262244e+16
73.84133614567514,2.2696242208185696e+16
89.6317327839867,2.539756738959698e+16
112.31848114660363,2.8093718544087084e+16
145.18709314739743,3.151799029722474e+16
177.69983091111385,3.5026622966718e+16
212.1116890110826,3.885012897734754e+16
253.17646511552178,4.274875730173496e+16
305.5840531986838,4.69614665516081e+16
369.3075300033843,5.177361480665204e+16
440.60656172349564,5.68657714036357e+16
519.5269252786927,6.167706934888827e+16
597.2903262379187,6.742661886185613e+16
683.9243071948879,7.1442712346002136e+16
760.2314071026872,7.62181437325239e+16
843.1286895341555,7.95483338397776e+16
926.0382382038692,8.282728843805782e+16
1008.9334762622971,8.648044016233192e+16
1091.8634686624187,8.968978319946771e+16
1174.7914166894989,9.305501519982842e+16
1257.745941566111,9.605149728919922e+16
1340.7086439348855,9.898778005460523e+16
1423.6836125419036,1.0177208362899526e+17
1506.6688030141265,1.0442803616674208e+17
1589.6560378593913,1.071109394268159e+17
1672.6555389429009,1.096024296877426e+17
1755.6775281298567,1.1166511936898822e+17
1838.6749848403256,1.1430773393752059e+17
1921.7051515194462,1.1627492249091342e+17
2004.7475844368118,1.1799568832673867e+17
2087.7429967742387,1.2083589027992214e+17
2170.789518437686,1.2252721743155365e+17
2253.8299069820105,1.2438968774255123e+17
2336.8907392567435,1.2578212019770413e+17
2419.969970888844,1.2673830609500656e+17
2503.0144481792495,1.2856307468588848e+17
2586.0711917079016,1.3010507530541736e+17
2669.1258908635127,1.3171764393515805e+17
2752.2051224956117,1.3271895122238515e+17
2835.2966203659557,1.3341097695180805e+17
2918.38402949022,1.3421270901730366e+17
3001.467349868401,1.3512607908472422e+17
3081.772058615118,1.3563315454127277e+17
3165.0321702899587,1.375677017759131e+17
3265.827272147512,1.379696242352358e+17
3348.941258121305,1.3808709845413309e+17
3432.042977856854,1.3853295266340264e+17
3477.37081691751,1.3878672990218509e+17
