x,y
27.18571428571428,4.682425563189774e+18
43.99074074074063,5.328410715871891e+18
47.99999999999987,6.137141006193424e+18
72.0,6.898358536437933e+18
83.76666666666654,7.90707257614681e+18
83.99999999999989,9.06475211166484e+18
107.99999999999987,1.038987133671166e+19
131.37083333333322,1.1692973004618711e+19
156.66904761904757,1.3900020127118287e+19
189.5537037037035,1.617789580189041e+19
224.67499999999978,1.883452452691574e+19
255.14166666666642,2.175374177180218e+19
300.8416666666664,2.5102191863549714e+19
350.3499999999997,2.8752577029986025e+19
411.2833333333331,3.2952405309518066e+19
479.83333333333326,3.764152097969523e+19
555.9999999999995,4.300383536530803e+19
639.7833333333332,4.870230694291961e+19
723.5666666666665,5.429325433104608e+19
807.3499999999997,5.947887038509561e+19
891.133333333333,6.512309758906756e+19
977.4555555555556,7.096935606688039e+19
1058.6999999999998,7.618971769168539e+19
1142.4833333333331,8.079826858597409e+19
1199.9999999999998,8.487497532250209e+19
1247.9999999999998,8.822531554799549e+19
1310.0499999999993,9.145505626840523e+19
1393.833333333333,9.626425476733647e+19
1477.6166666666663,1.0126931789613325e+20
1561.3999999999996,1.0593652324680784e+20
1645.183333333333,1.1044512370506949e+20
1728.966666666666,1.1540519964754764e+20
1812.7499999999998,1.2072388625945054e+20
1896.5333333333328,1.2501439883646863e+20
1980.316666666666,1.304083401584805e+20
2064.1,1.3473927190113557e+20
2147.883333333333,1.3921403623714008e+20
2231.6666666666665,1.4408054891861502e+20
2315.4499999999994,1.4903325385082175e+20
2399.233333333333,1.5311826930838402e+20
2483.016666666666,1.5731525542254238e+20
2566.7999999999993,1.6199166461166626e+20
2650.583333333333,1.6699501103904044e+20
2734.366666666666,1.707052288644714e+20
2818.1499999999996,1.751869098540528e+20
2901.933333333333,1.7907913149396137e+20
2985.7166666666667,1.8305782871190707e+20
3069.4999999999995,1.8701960442070663e+20
3153.2833333333333,1.9160571639080718e+20
3237.066666666666,1.965254455667918e+20
3320.85,2.0043987193427794e+20
3404.633333333332,2.036282097140015e+20
3473.1833333333325,2.054947828477792e+20
