x,y
61.05383632621186,4.20327981359076e+19
95.51777982823468,5.694340888156306e+19
140.11817730144077,7.1918129244404244e+19
192.8277379515934,8.601434975222181e+19
253.64646177869255,9.919674623562736e+19
322.5743487827381,1.1235073169857905e+20
399.61139896373044,1.2554210606444791e+20
484.75761232166917,1.3823093216298806e+20
573.9584072680814,1.5057445425331752e+20
663.1592022144933,1.611196549929501e+20
752.3599971609052,1.706599114483696e+20
841.5607921073175,1.8009438429492455e+20
930.7615870537295,1.889999390971569e+20
1019.9623820001417,1.960542807442601e+20
1109.1631769465537,2.0421935028444067e+20
1198.363971892966,2.109563411049503e+20
1287.564766839378,2.172173056855694e+20
1376.76556178579,2.2390140470164665e+20
1465.9663567322023,2.293689922157819e+20
1555.167151678614,2.3536549777423974e+20
1644.3679466250264,2.4093886889723947e+20
1733.5687415714385,2.459833219759166e+20
1822.7695365178504,2.5134512588118724e+20
1911.9703314642627,2.5580776911110944e+20
2001.1711264106746,2.6058776316762518e+20
2098.4455958549215,2.64647417994106e+20
2191.7098445595857,2.679584721767437e+20
2268.7735112499104,2.7334099120420458e+20
2357.9743061963227,2.7679869014991382e+20
2447.1751011427355,2.8104976616210704e+20
2536.375896089147,2.8493059954327427e+20
2625.5766910355596,2.8812383946682214e+20
2714.777485981971,2.9174021382582806e+20
2803.9782809283834,2.95145020967105e+20
2893.1790758747957,2.989200707394078e+20
2982.3798708212075,3.0216620246738797e+20
3071.58066576762,3.046718489333164e+20
3160.7814607140313,3.081824396834577e+20
3249.982255660444,3.110054369759798e+20
3339.1830506068563,3.142515687039599e+20
3428.3838455532677,3.1686299877875286e+20
3485.1479877918932,3.1842865100010796e+20
