x,y
47.4652894783714,1.0780849631394582e+16
68.83492211538152,1.2270916342312376e+16
85.69899183561643,1.3988058514720478e+16
117.77809292834496,1.5541787106601984e+16
144.03955735426626,1.7070770016591652e+16
181.80297278621254,1.901404983442352e+16
230.40029977014484,2.1018107338240376e+16
290.3617935072248,2.3099677119105624e+16
365.4568398047538,2.528391040531746e+16
448.1374186938973,2.7518202390512476e+16
530.8977281316326,2.9491612039379956e+16
613.7234575066727,3.1209131929211064e+16
696.5716749851623,3.2883335640508972e+16
779.4526024323046,3.442884109554101e+16
862.3519292368148,3.5918930515521332e+16
945.2860103830177,3.722245600305648e+16
1028.2139584100978,3.86190721571498e+16
1111.1725720327909,3.983113991824029e+16
1194.1536737589324,4.090295034973456e+16
1266.3473257560731,4.246620215304941e+16
1349.6074374309123,4.307190121106151e+16
1443.101067683438,4.425953824675771e+16
1526.1067018860692,4.5235359912791736e+16
1609.120513580864,4.615962927575222e+16
1682.506164791248,4.684906673281628e+16
1765.6954167965757,4.817300913107791e+16
1848.9555284714158,4.886010486304714e+16
1908.406791190726,4.955053252932073e+16
1963.8601236207774,4.989758346353341e+16
2046.8923346729396,5.073623419300086e+16
2129.9327232172645,5.1507448392238024e+16
2212.979244880711,5.222839268929491e+16
2296.0257665441586,5.295942796728141e+16
2379.0906875649735,5.3509927701731176e+16
2462.1535642127465,5.408753263175032e+16
2545.204174622276,5.48012342954632e+16
2628.265006897008,5.541468560802954e+16
2711.338105409986,5.590221845160593e+16
2794.4030264308008,5.648330774191698e+16
2877.4659030785742,5.709300837910246e+16
2960.55944532196,5.7368015088096104e+16
3043.630499461896,5.789562150445597e+16
3126.719952959199,5.8220518797406344e+16
3209.8114508295453,5.852409335565146e+16
3292.8988599538075,5.887579336804424e+16
3375.9944465702347,5.913599943880064e+16
3451.541980767461,5.930363180425091e+16
