x,y
121.84999999999987,9.160480771129508e+18
151.2285714285714,1.066966259546874e+19
194.20833333333312,1.2632178802647288e+19
251.33333333333314,1.4545450132106224e+19
327.4999999999998,1.6576030058189148e+19
411.28333333333336,1.8292617973238245e+19
495.06666666666626,1.975969334114393e+19
578.8499999999998,2.1046119592177136e+19
662.6333333333332,2.2177795056039244e+19
746.4166666666665,2.3173796907677553e+19
830.1999999999998,2.402442632495432e+19
913.9833333333332,2.478040241627983e+19
997.7666666666663,2.550267187099158e+19
1081.5499999999997,2.6201702497447735e+19
1165.3333333333333,2.6798922862203388e+19
1249.1166666666666,2.7394328920666354e+19
1332.8999999999999,2.793997370034044e+19
1416.6833333333332,2.846441874762012e+19
1500.4666666666662,2.9015038203097436e+19
1584.2499999999995,2.9443400941572858e+19
1668.033333333333,2.986127170271184e+19
1751.8166666666662,3.019994310749883e+19
1835.6,3.0663057056281506e+19
1919.383333333333,3.090624737014406e+19
2003.166666666666,3.118646152622805e+19
2086.95,3.1504669444385853e+19
2170.7333333333327,3.191583808943511e+19
2254.5166666666664,3.2132763547648193e+19
2338.2999999999993,3.235116340406697e+19
2422.083333333333,3.268125524049227e+19
2505.866666666667,3.2829370367453753e+19
2589.6499999999996,3.2941045431833686e+19
2673.433333333333,3.3071713927178527e+19
2757.2166666666662,3.3427971886687638e+19
2841.0,3.325962524586437e+19
2904.0,3.354756607509611e+19
2976.0,3.3531858677063254e+19
3036.0,3.351877479679612e+19
3115.1999999999994,3.3994744295108927e+19
3198.9833333333336,3.395710070713331e+19
3282.766666666666,3.397683543637473e+19
3366.5499999999997,3.41308222785987e+19
3450.3333333333326,3.4112227180224643e+19
3496.033333333333,3.410208866971584e+19
