Power_W,Te_eV,ne_cm3,alpha,nF_cm3,nF2_cm3,nSF6_cm3,nSF5_cm3,nSF4_cm3,nSF3_cm3,nSF2_cm3,nSF_cm3,nS_cm3,nAr_ground_cm3,nAr_metastable_cm3,Ec_eV,eps_T_eV,SF6_dissoc_pct,R_Penning_m3s,converged
200.0,3.5151,2.455809e+08,274.0121,1.427392e+13,5.902591e+13,1.763984e+14,2.381680e+12,5.706959e+12,9.441336e+10,2.690752e+11,6.263518e+10,1.834594e+10,6.437649e+13,7.381850e+07,201.50,227.01,31.50,2.6043e+18,True
250.0,3.4538,3.449130e+08,223.4617,1.754224e+13,6.864820e+13,1.630619e+14,2.588215e+12,6.646074e+12,1.276116e+11,3.020396e+11,8.314865e+10,3.054901e+10,6.437649e+13,1.064812e+08,211.60,236.67,36.68,3.4726e+18,True
300.0,3.3961,4.667949e+08,184.5528,2.098176e+13,7.720572e+13,1.508093e+14,2.760895e+12,7.451137e+12,1.621933e+11,3.320541e+11,1.048629e+11,4.648562e+10,6.437649e+13,1.480508e+08,221.94,246.59,41.43,4.4655e+18,True
350.0,3.3480,6.077865e+08,155.6239,2.451465e+13,8.451504e+13,1.398906e+14,2.900018e+12,8.098821e+12,1.958828e+11,3.613377e+11,1.275066e+11,6.593618e+10,6.437649e+13,1.985125e+08,231.11,255.41,45.67,5.5540e+18,True
400.0,3.3066,7.684537e+08,133.3997,2.815267e+13,9.068194e+13,1.301679e+14,3.011519e+12,8.603390e+12,2.277229e+11,3.899534e+11,1.507120e+11,8.863029e+10,6.437649e+13,2.586835e+08,239.32,263.32,49.45,6.7345e+18,True
450.0,3.2699,9.498456e+08,115.8276,3.191011e+13,9.582454e+13,1.214921e+14,3.100166e+12,8.981712e+12,2.571124e+11,4.175799e+11,1.740529e+11,1.141470e+11,6.437649e+13,3.294645e+08,246.78,270.52,52.82,8.0055e+18,True
500.0,3.2369,1.152562e+09,101.6649,3.578967e+13,1.000483e+14,1.137397e+14,3.169499e+12,9.249723e+12,2.836388e+11,4.438177e+11,1.970730e+11,1.419024e+11,6.437649e+13,4.116010e+08,253.58,277.07,55.83,9.3631e+18,True
550.0,3.2064,1.377846e+09,90.0225,3.979939e+13,1.034607e+14,1.067818e+14,3.222572e+12,9.423587e+12,3.071586e+11,4.682659e+11,2.193602e+11,1.712805e+11,6.437649e+13,5.060061e+08,259.83,283.10,58.53,1.0806e+19,True
600.0,3.1781,1.626349e+09,80.3311,4.393592e+13,1.061548e+14,1.005162e+14,3.261717e+12,9.517624e+12,3.276342e+11,4.906323e+11,2.405543e+11,2.016145e+11,6.437649e+13,6.134237e+08,265.55,288.62,60.97,1.2332e+19,True
650.0,3.1516,1.899122e+09,72.1584,4.819858e+13,1.082180e+14,9.484501e+13,3.288948e+12,9.545098e+12,3.451765e+11,5.107281e+11,2.603888e+11,2.323031e+11,6.437649e+13,7.347372e+08,270.80,293.67,63.17,1.3937e+19,True
700.0,3.1262,2.198177e+09,65.1633,5.259455e+13,1.097287e+14,8.967439e+13,3.305985e+12,9.517674e+12,3.599993e+11,5.284670e+11,2.786981e+11,2.628706e+11,6.437649e+13,8.711898e+08,275.63,298.32,65.18,1.5625e+19,True
750.0,3.1021,2.523782e+09,59.1478,5.710917e+13,1.107524e+14,8.494351e+13,3.314093e+12,9.445232e+12,3.722911e+11,5.438758e+11,2.953707e+11,2.928280e+11,6.437649e+13,1.023526e+09,280.01,302.52,67.01,1.7388e+19,True
800.0,3.0788,2.879269e+09,53.8910,6.175752e+13,1.113476e+14,8.057447e+13,3.314487e+12,9.336196e+12,3.823440e+11,5.570228e+11,3.103978e+11,3.219366e+11,6.437649e+13,1.193589e+09,284.02,306.37,68.71,1.9235e+19,True
850.0,3.0562,3.266344e+09,49.2685,6.653411e+13,1.115624e+14,7.651822e+13,3.308047e+12,9.197600e+12,3.903925e+11,5.680445e+11,3.237986e+11,3.499442e+11,6.437649e+13,1.382797e+09,287.66,309.84,70.28,2.1162e+19,True
900.0,3.0340,3.688952e+09,45.1552,7.145093e+13,1.114358e+14,7.272153e+13,3.295524e+12,9.035024e+12,3.966895e+11,5.770900e+11,3.356431e+11,3.767583e+11,6.437649e+13,1.593482e+09,290.96,312.98,71.76,2.3176e+19,True
950.0,3.0124,4.148139e+09,41.4933,7.649052e+13,1.110054e+14,6.915770e+13,3.277515e+12,8.853701e+12,4.014372e+11,5.843557e+11,3.460099e+11,4.022205e+11,6.437649e+13,1.827076e+09,293.86,315.73,73.14,2.5271e+19,True
1000.0,2.9910,4.650266e+09,38.1858,8.167680e+13,1.102949e+14,6.578064e+13,3.254493e+12,8.657021e+12,4.048597e+11,5.900007e+11,3.550138e+11,4.264045e+11,6.437649e+13,2.087107e+09,296.44,318.14,74.45,2.7458e+19,True
