r_cm,z_cm,ne_cm3,Te_eV,nF_cm3,P_ind_kW_m3,alpha
1.011899e+00,3.136121e+00,2.804053e+09,2.026659e+00,1.702430e+13,3.305696e-03,8.803239e+01
1.011899e+00,3.909510e+00,3.489037e+09,2.091049e+00,1.773262e+13,6.848361e-03,7.459273e+01
1.011899e+00,4.762930e+00,4.272461e+09,2.180191e+00,1.862651e+13,1.366342e-02,6.425110e+01
1.011899e+00,5.688405e+00,5.159254e+09,2.299402e+00,1.971786e+13,2.655007e-02,5.590235e+01
1.011899e+00,6.673277e+00,6.148608e+09,2.453417e+00,2.099791e+13,5.055910e-02,4.890640e+01
1.011899e+00,7.700577e+00,7.229543e+09,2.645258e+00,2.242772e+13,9.453756e-02,4.291704e+01
1.011899e+00,8.750000e+00,8.375589e+09,2.874709e+00,2.393266e+13,1.733476e-01,3.776264e+01
1.011899e+00,9.799423e+00,9.487129e+09,3.136727e+00,2.540672e+13,3.090951e-01,3.354502e+01
1.011899e+00,1.082672e+01,1.040558e+10,3.420575e+00,2.673187e+13,5.309071e-01,3.037539e+01
1.011899e+00,1.181160e+01,1.095239e+10,3.710634e+00,2.780862e+13,8.729757e-01,2.832004e+01
1.011899e+00,1.273707e+01,1.098613e+10,3.989163e+00,2.858360e+13,1.373644e+00,2.743218e+01
1.011899e+00,1.359049e+01,1.045790e+10,4.240038e+00,2.906001e+13,2.081010e+00,2.780525e+01
1.011899e+00,1.436388e+01,9.430571e+09,4.451391e+00,2.928794e+13,3.055960e+00,2.964924e+01
1.011899e+00,1.505375e+01,8.053311e+09,4.466297e+00,2.934248e+13,4.323065e+00,3.340044e+01
1.011899e+00,1.566048e+01,6.531989e+09,4.468474e+00,2.930713e+13,5.425111e+00,3.977830e+01
1.011899e+00,1.618748e+01,5.019306e+09,4.469489e+00,2.924000e+13,5.022794e+00,5.034300e+01
1.011899e+00,1.664030e+01,3.609894e+09,4.469879e+00,2.917465e+13,2.440381e+00,6.861693e+01
1.011899e+00,1.702576e+01,2.352445e+09,4.469996e+00,2.912657e+13,5.674214e-01,1.040262e+02
1.011899e+00,1.735128e+01,1.263536e+09,4.470026e+00,2.909977e+13,3.149566e-02,1.926321e+02
