composition,frac_Ar,nF_model_volavg_m3,nF_Mettler_centre_m3,ratio_model_over_centre,Te_eV,ne_m3,alpha,converged
90% SF6,-,1.933e+20,2.327e+20,0.831,3.019,3.146e+16,20.09,True
30% SF6,-,2.418e+20,6.160e+19,3.926,2.458,3.626e+17,1.03,True
