label,P_rf_W,p_mTorr,frac_Ar,Q_sccm_total,Q_SF6_sccm,nF_model_m3,nF_Mettler_m3,ratio_model_over_Mettler,Te_eV,ne_m3,alpha,dissoc_frac,converged
low-p  (600W/20mTorr),-,-,-,100,90,3.392e+19,9.527e+20,0.036,3.119,4.343e+14,322.08,0.251,True
high-p (700W/40mTorr),-,-,-,100,90,3.878e+19,2.038e+21,0.019,2.993,2.821e+14,571.45,0.235,True
