E/N_Td,x_Ar,Te_eff_ref,k_iz_ref,k_att_ref,k_diss_ref,Te_eff_pred,k_iz_pred,k_att_pred,k_diss_pred,Te_eff_rel_err,k_iz_rel_err,k_att_rel_err,k_diss_rel_err
30,0.67,1.054235e+00,0.000000e+00,6.973622e-15,7.778341e-14,1.064821e+00,1.157108e-23,7.000761e-15,8.973590e-22,0.0100,nan,0.0039,1.0000
50,0,1.039297e+00,0.000000e+00,7.391412e-15,7.823726e-14,1.058629e+00,1.423679e-23,7.702793e-15,2.769515e-21,0.0186,nan,0.0421,1.0000
50,0.1,1.074702e+00,0.000000e+00,7.045346e-15,7.750135e-14,1.073735e+00,1.336113e-23,7.422207e-15,3.093150e-21,0.0009,nan,0.0535,1.0000
50,0.2,1.114383e+00,0.000000e+00,6.679985e-15,7.669747e-14,1.101761e+00,1.439590e-23,7.035785e-15,3.740685e-21,0.0113,nan,0.0533,1.0000
50,0.3,1.158913e+00,0.000000e+00,6.292970e-15,7.581714e-14,1.145572e+00,1.690947e-23,6.545696e-15,4.957010e-21,0.0115,nan,0.0402,1.0000
50,0.5,1.262888e+00,3.968307e-41,5.441386e-15,7.379387e-14,1.291982e+00,2.177991e-23,5.317276e-15,1.177977e-20,0.0230,nan,0.0228,1.0000
50,0.67,1.357136e+00,5.661532e-30,4.579903e-15,7.168701e-14,1.487264e+00,1.039312e-23,4.174644e-15,3.219903e-20,0.0959,nan,0.0885,1.0000
70,0,1.279498e+00,1.422473e-34,5.560928e-15,7.380034e-14,1.298327e+00,3.060150e-23,5.725576e-15,3.492384e-20,0.0147,nan,0.0296,1.0000
70,0.1,1.315129e+00,3.362809e-30,5.318831e-15,7.317706e-14,1.320401e+00,2.587893e-23,5.481104e-15,3.910115e-20,0.0040,nan,0.0305,1.0000
70,0.2,1.352083e+00,3.161640e-29,5.068124e-15,7.252260e-14,1.353882e+00,2.043744e-23,5.168824e-15,4.654676e-20,0.0013,nan,0.0199,1.0000
70,0.3,1.389027e+00,2.214473e-28,4.807661e-15,7.183696e-14,1.399889e+00,1.185544e-23,4.799734e-15,5.866718e-20,0.0078,nan,0.0016,1.0000
70,0.5,1.456674e+00,3.830392e-27,4.217314e-15,7.027315e-14,1.538117e+00,0.000000e+00,3.942308e-15,1.073964e-19,0.0559,nan,0.0652,1.0000
70,0.67,1.755371e+00,1.652487e-25,3.030370e-15,6.667987e-14,1.761634e+00,0.000000e+00,3.079252e-15,2.471164e-19,0.0036,1.0000,0.0161,1.0000
80,0,1.376526e+00,1.104317e-28,5.007836e-15,7.226420e-14,1.387396e+00,2.422242e-23,5.102089e-15,9.369258e-20,0.0079,nan,0.0188,1.0000
80,0.1,1.408326e+00,5.396539e-28,4.803946e-15,7.171445e-14,1.408348e+00,1.420642e-23,4.890333e-15,1.015916e-19,0.0000,nan,0.0180,1.0000
80,0.2,1.439179e+00,2.524188e-27,4.593561e-15,7.114508e-14,1.438424e+00,2.514545e-24,4.625605e-15,1.147807e-19,0.0005,nan,0.0070,1.0000
80,0.3,1.467036e+00,1.058778e-26,4.373860e-15,7.055221e-14,1.479875e+00,0.000000e+00,4.312837e-15,1.347058e-19,0.0088,nan,0.0140,1.0000
80,0.5,1.592748e+00,7.340035e-26,3.639489e-15,6.840406e-14,1.631364e+00,0.000000e+00,3.529601e-15,2.265992e-19,0.0242,nan,0.0302,1.0000
