E/N_Td,x_Ar,Te_eff_ref,k_iz_ref,k_att_ref,k_diss_ref,Te_eff_pred,k_iz_pred,k_att_pred,k_diss_pred,Te_eff_rel_err,k_iz_rel_err,k_att_rel_err,k_diss_rel_err
400,0.2,3.891337e+00,1.731840e-17,9.712592e-16,6.496043e-14,3.884987e+00,1.887116e-17,9.815239e-16,5.308943e-16,0.0016,0.0897,0.0106,0.9918
400,0.3,3.999754e+00,2.037172e-17,9.040839e-16,6.503489e-14,3.993129e+00,2.149916e-17,9.198627e-16,5.855146e-16,0.0017,0.0553,0.0175,0.9910
400,0.5,4.232979e+00,2.809722e-17,7.786930e-16,6.519229e-14,4.223764e+00,2.746558e-17,7.971317e-16,7.023129e-16,0.0022,0.0225,0.0237,0.9892
400,0.67,4.445393e+00,3.673712e-17,6.868478e-16,6.535001e-14,4.434975e+00,3.485363e-17,6.960828e-16,8.579892e-16,0.0023,0.0513,0.0134,0.9869
450,0,3.881124e+00,2.342025e-17,1.017583e-15,6.498525e-14,3.883541e+00,2.483390e-17,1.024359e-15,5.523241e-16,0.0006,0.0604,0.0067,0.9915
450,0.1,3.975544e+00,2.686138e-17,9.585687e-16,6.504837e-14,3.976603e+00,2.851299e-17,9.735305e-16,6.139480e-16,0.0003,0.0615,0.0156,0.9906
450,0.2,4.074238e+00,3.078595e-17,9.006475e-16,6.511033e-14,4.073537e+00,3.204891e-17,9.219021e-16,6.687516e-16,0.0002,0.0410,0.0236,0.9897
450,0.3,4.177311e+00,3.526161e-17,8.447508e-16,6.517318e-14,4.174689e+00,3.556507e-17,8.694885e-16,7.193407e-16,0.0006,0.0086,0.0293,0.9890
450,0.5,4.395373e+00,4.614277e-17,7.422758e-16,6.531028e-14,4.390829e+00,4.387517e-17,7.631814e-16,8.354312e-16,0.0010,0.0491,0.0282,0.9872
450,0.67,4.589879e+00,5.773658e-17,6.661307e-16,6.544574e-14,4.589923e+00,5.497109e-17,6.728986e-16,1.010732e-15,0.0000,0.0479,0.0102,0.9846
500,0,4.054200e+00,3.914323e-17,9.473203e-16,6.511621e-14,4.064758e+00,3.954806e-17,9.644452e-16,6.998769e-16,0.0026,0.0103,0.0181,0.9893
500,0.1,4.145398e+00,4.401074e-17,8.967047e-16,6.516851e-14,4.153120e+00,4.458734e-17,9.206463e-16,7.608052e-16,0.0019,0.0131,0.0267,0.9883
500,0.2,4.240126e+00,4.946478e-17,8.478196e-16,6.522136e-14,4.244705e+00,4.927895e-17,8.760810e-16,8.127109e-16,0.0011,0.0038,0.0333,0.9875
500,0.3,4.338177e+00,5.556870e-17,8.012392e-16,6.527630e-14,4.340074e+00,5.392859e-17,8.305271e-16,8.606519e-16,0.0004,0.0295,0.0366,0.9868
500,0.5,4.542479e+00,6.997002e-17,7.160770e-16,6.539732e-14,4.544012e+00,6.542094e-17,7.364579e-16,9.817804e-16,0.0003,0.0650,0.0285,0.9850
500,0.67,4.722001e+00,8.479845e-17,6.506275e-16,6.551379e-14,4.732504e+00,8.148990e-17,6.543189e-16,1.183446e-15,0.0022,0.0390,0.0057,0.9819
1000,0,5.341531e+00,5.494707e-16,7.021208e-16,6.547887e-14,5.334628e+00,5.000014e-16,6.949679e-16,3.414953e-15,0.0013,0.0900,0.0102,0.9478
1000,0.1,5.403151e+00,5.779291e-16,6.897838e-16,6.550283e-14,5.395285e+00,5.457065e-16,6.804291e-16,3.424090e-15,0.0015,0.0558,0.0136,0.9477
1000,0.2,5.464811e+00,6.081733e-16,6.761467e-16,6.552650e-14,5.455094e+00,5.864049e-16,6.649875e-16,3.434411e-15,0.0018,0.0358,0.0165,0.9476
1000,0.3,5.526682e+00,6.404381e-16,6.606889e-16,6.554950e-14,5.515250e+00,6.269665e-16,6.478293e-16,3.478302e-15,0.0021,0.0210,0.0195,0.9469
1000,0.5,5.652019e+00,7.122810e-16,6.221454e-16,6.559202e-14,5.641001e+00,7.332186e-16,6.057125e-16,3.811396e-15,0.0019,0.0294,0.0264,0.9419
1000,0.67,5.761794e+00,7.831392e-16,5.786959e-16,6.562293e-14,5.758107e+00,8.859705e-16,5.598655e-16,4.601789e-15,0.0006,0.1313,0.0325,0.9299
