Power_W,pOFF_Pa,Te_eV,ne_m3,alpha,dp_Pa,nSF6_m3,nSF5_m3,nSF4_m3,nSF3_m3,nF2_m3,nF_m3,nSF5+_m3,nSF4+_m3,nSF3+_m3,nF2+_m3,nSF6-_m3,nF-_m3,thF,thSF3,thSF4,thSF5
2000,0.4,4.425653113783249,6.705026868383277e+16,1.5516232168291733,0.2634220919845417,2.6343278260181344e+19,6.494552226743324e+18,1.584336243189671e+19,1.115854107871772e+19,1.6887086125472182e+19,7.581188338361618e+19,6.901862357479638e+16,3.636961040561682e+16,6.2275674622382904e+16,3423113665505773.5,3.2485053377147324e+16,7.155170020732165e+16,0.11014324620843019,0.00787515324830315,0.04055299906487161,0.350952857017479
2000,0.45,4.462008922093109,5.377971093975402e+16,2.0433723736423515,0.2675811736452765,3.4683046740738396e+19,7.444308866538464e+18,1.8438143698634195e+19,1.1061387981239276e+19,1.8938062359315296e+19,7.442639328753648e+19,7.099382964076754e+16,3.504132063365812e+16,5.434942474547834e+16,3287111516614718.5,3.542001959241321e+16,7.44719560043515e+16,0.10300263608344547,0.007381231017356396,0.04224776856369821,0.3758833880616953
2000,0.5,4.493724549683418,4.480120723848104e+16,2.540925045067053,0.26995219796455305,4.320498858216374e+19,8.240968755309464e+18,2.069151332302011e+19,1.0841573343601035e+19,2.074034735028413e+19,7.331346820605913e+19,7.281989754056558e+16,3.3871264396361704e+16,4.876381386399262e+16,3182740959057274.0,3.7521198949710616e+16,7.63153105717852e+16,0.09710784674944155,0.006976674359645499,0.0437993841075663,0.3974396030184535
2000,0.6,4.545045635721635,3.346028172752806e+16,3.548531818321626,0.27195301816095707,6.067882074790525e+19,9.515050937730626e+18,2.452992541900804e+19,1.0280647678663981e+19,2.382439528589589e+19,7.165677009655226e+19,7.588258401120157e+16,3.1852001184583816e+16,4.144799494643469e+16,3012575945446909.0,4.032767218307766e+16,7.840720217706136e+16,0.08780868562995316,0.006323696868048075,0.04652148980345301,0.4331328758970845
2000,0.7,4.58446776005666,2.662377201107504e+16,4.567023494056327,0.27193833368536746,7.856074878968657e+19,1.0493777139468507e+19,2.776786222494955e+19,9.700316037015073e+18,2.644140836209978e+19,7.051082911666444e+19,7.824369996154803e+16,3.014075441799402e+16,3.696041390804882e+16,2870295998463052.0,4.210855751329194e+16,7.948283476168704e+16,0.08073921991096916,0.005800014364930673,0.048823282438977524,0.46160337986349387
2000,0.75,4.600946892403811,2.4139246697749724e+16,5.078853522429646,0.27143290182843294,8.760882732852047e+19,1.0903121937815908e+19,2.9222521511713223e+19,9.42219243462027e+18,2.7628731260589044e+19,7.006968865766573e+19,7.921180946066782e+16,2.937440284669787e+16,3.534592262818474e+16,2806809881863746.0,4.277254432281289e+16,7.982715379685149e+16,0.07779488836307713,0.005572088561610626,0.049845548083962105,0.47379682129331674
2000,0.8,4.615735382028521,2.207183452729509e+16,5.591856556045682,0.2706584735350641,9.671080863302689e+19,1.127017328655791e+19,3.0587609198026985e+19,9.155515518670884e+18,2.875409678116563e+19,6.969517160972662e+19,8.006275817489613e+16,2.8658111453964016e+16,3.402576843534986e+16,2747729068495769.5,4.3331558000894296e+16,8.009097460451621e+16,0.07515890572935364,0.0053623730336287475,0.05079473275322832,0.4848808418713151
2000,0.9,4.641232102298848,1.883244007023389e+16,6.620233419605267,0.2684066401771309,1.1503886091386642e+20,1.1901210411648969e+19,3.3090029839821865e+19,8.659161208742418e+18,3.0857778685293027e+19,6.9101284364959056e+19,8.147221758588214e+16,2.735452612531318e+16,3.203957610507369e+16,2641269379640447.0,4.421833572187374e+16,8.0456813403802e+16,0.0706327493509147,0.00498881245510292,0.05250449243981919,0.5042838085970498
2000,1.0,4.662497966978604,1.6413945888597578e+16,7.650436216286854,0.2653298815669758,1.334871122044798e+20,1.2424482539375518e+19,3.533888133600436e+19,8.211446376527585e+18,3.281153051510036e+19,6.866015019667207e+19,8.256922050884573e+16,2.6195289079064416e+16,3.067500804185911e+16,2548274337128444.5,4.4887696859148616e+16,8.068614921915099e+16,0.06688167944577868,0.004665730637522573,0.05400412063103712,0.5207226327309313
2000,1.1,4.6805642917008115,1.4541679192742206e+16,8.681434977243224,0.2615230766046672,1.5201856956219677e+20,1.2865959754700667e+19,3.737826740851323e+19,7.808591897043787e+18,3.465354132492872e+19,6.832609353959147e+19,8.342386046026176e+16,2.51547709322783e+16,2.9739146260198148e+16,2466543911726196.0,4.540898182888739e+16,8.083366054283482e+16,0.06371656174337759,0.004383651366625841,0.05533275346460862,0.5348499005896435
2000,1.25,4.7031717874450925,1.2413455690410546e+16,10.22822224646075,0.2546037697807857,1.799228103110733e+20,1.341393712724672e+19,4.011356486478775e+19,7.277991156948635e+18,3.726057586745231e+19,6.796026994937889e+19,8.435927726605069e+16,2.3775124332532868e+16,2.888552468267946e+16,2361113057259504.5,4.600328255856867e+16,8.096430108954326e+16,0.05978637170732693,0.004022420642553565,0.057069323527004744,0.552724672550839
2000,1.5,4.732471218371506,9975519345999140.0,12.805316153263526,0.24035560006204504,2.2662033060030228e+20,1.411858468574352e+19,4.3992220961334395e+19,6.553261189805462e+18,4.1309979981397385e+19,6.7560501475846e+19,8.526282751341702e+16,2.184787556341558e+16,2.8384775569037176e+16,2219719718645250.8,4.668391977119324e+16,8.105575924732234e+16,0.05473230845699579,0.0035454457685623096,0.05945328963791737,0.5762684590133746
2000,1.75,4.754794641923156,8335676882181771.0,15.381372785691225,0.22341054467702337,2.7349430527254223e+20,1.465725254448967e+19,4.722514177792722e+19,5.980381328750268e+18,4.5097314517746246e+19,6.728612602787574e+19,8.56171536777147e+16,2.0264596108744596e+16,2.855985599598031e+16,2108224645648611.5,4.7140562316791016e+16,8.107359122911515e+16,0.05087534706838152,0.0031808934665206287,0.061389661926400475,0.594676363760206
2000,2.0,4.7724764939935636,7157184706337911.0,17.95777378992295,0.2044203022090123,3.205279157771301e+20,1.509310571050877e+19,4.997215482287294e+19,5.519606461544857e+18,4.868728892154256e+19,6.705584845939714e+19,8.560773031733982e+16,1.893409670349703e+16,2.9125534388645412e+16,2016927225968038.8,4.7468487815104536e+16,8.105861611400778e+16,0.047765995651304634,0.0028956604022245718,0.0630206322750482,0.6098106290203964
2000,2.25,4.786883547279192,6269202091348953.0,20.53600627657439,0.1838852552461474,3.6772292712394044e+20,1.5462212824280363e+19,5.234256528413461e+19,5.143413442195138e+18,5.21147437073221e+19,6.683026407023715e+19,8.53458597065455e+16,1.7796696359203406e+16,2.9931202355334716e+16,1939817167320752.2,4.771636597138706e+16,8.102800752566834e+16,0.045145671448971504,0.0026682769883121585,0.06443723974450985,0.6227824650190288
2000,2.5,4.798876746663371,5575984724995347.0,23.117203750263947,0.16218261621660268,4.1508278659336995e+20,1.5786326793213719e+19,5.441458209569347e+19,4.832387700756129e+18,5.540145123675094e+19,6.6590337298519065e+19,8.490310753183442e+16,1.6811250789599668e+16,3.0889724451897584e+16,1873076947740905.8,4.791134049227103e+16,8.09898345038059e+16,0.0428568787726818,0.002484238551699481,0.06570008833696328,0.6342877826377148
2000,2.75,4.809029741256505,5019739910298858.0,25.7020901819564,0.13959505985264675,4.6260779007026686e+20,1.607914533641005e+19,5.624609936277166e+19,4.5725128111341404e+18,5.856311781446186e+19,6.6327485131924726e+19,8.432803884390109e+16,1.594820264301737e+16,3.1947096356277536e+16,1814209931570125.0,4.806959657007411e+16,8.094821129439286e+16,0.04079935579651759,0.0023334147672531536,0.06685082054891232,0.6447796938784781
